,author_type,floor,floors_count,rooms_count,total_meters,price,lat,lon
198,real_estate_agent,13.0,26.0,3.0,97.0,35000000,55.7509339,37.70581703825712
199,unknown,3.0,26.0,2.0,56.3,25000000,55.7502515,37.6846152
200,realtor,11.0,29.0,1.0,36.0,20400000,55.7515232,37.7036117
201,real_estate_agent,20.0,29.0,2.0,60.0,22700000,55.7515232,37.7036117
202,real_estate_agent,4.0,12.0,3.0,76.4,31000000,55.7482906,37.6889591
203,homeowner,15.0,22.0,4.0,121.8,55000000,55.7513887,37.7053792
204,real_estate_agent,10.0,22.0,2.0,67.2,26000000,55.7513887,37.7053792
205,realtor,26.0,26.0,2.0,58.0,27000000,55.75081925,37.706651667974654
206,developer,2.0,24.0,2.0,72.1,30222250,55.68363625,37.70052543619818
207,real_estate_agent,10.0,20.0,2.0,63.0,28999999,55.706447,37.65209268108206
208,developer,4.0,6.0,1.0,42.4,24066777,55.6657173,37.6596192
209,developer,2.0,24.0,3.0,97.2,43991195,55.68363625,37.70052543619818
210,real_estate_agent,2.0,20.0,1.0,53.1,18000000,55.69270305,37.663758349999995
211,developer,2.0,16.0,2.0,55.54,21793896,55.7048888,37.653208
212,realtor,2.0,4.0,4.0,30.0,13990000,55.7037516,37.6411557
213,developer,3.0,20.0,2.0,42.44,17540350,55.706447,37.65209268108206
214,real_estate_agent,13.0,18.0,1.0,49.7,29999999,55.698875599999994,37.638616642730724
215,developer,7.0,28.0,2.0,58.1,24480086,55.707253,37.643517
216,unknown,12.0,16.0,2.0,57.86,25700000,55.717886,37.6603019
217,developer,2.0,10.0,1.0,36.0,15261250,55.7048888,37.653208
218,realtor,8.0,9.0,2.0,40.0,15900000,55.7165053,37.6635575
219,developer,4.0,20.0,1.0,39.79,17688278,55.706447,37.65209268108206
220,real_estate_agent,2.0,14.0,4.0,101.9,76000000,55.7178546,37.6530453
221,developer,8.0,28.0,1.0,40.7,18169619,55.707253,37.643517
222,real_estate_agent,9.0,9.0,4.0,162.6,122000000,55.7178546,37.6530453
223,developer,5.0,16.0,3.0,69.74,26452382,55.7048888,37.653208
224,real_estate_agent,2.0,29.0,3.0,117.2,84500000,55.7178546,37.6530453
225,developer,8.0,20.0,3.0,60.49,24704174,55.706447,37.65209268108206
226,realtor,8.0,9.0,2.0,45.0,16100000,55.68191955,37.64723989656308
227,developer,5.0,16.0,3.0,86.1,36898585,55.697185000000005,37.63355765111619
228,real_estate_agent,12.0,14.0,3.0,124.0,115000000,55.6999729,37.631966
229,developer,18.0,24.0,4.0,136.1,67100354,55.68363625,37.70052543619818
230,real_estate_agent,7.0,7.0,2.0,78.7,22000000,55.7015356,37.6764868
231,real_estate_agent,7.0,9.0,2.0,39.5,12700000,55.7047187,37.6739221
232,developer,12.0,20.0,1.0,24.93,14510730,55.706447,37.65209268108206
233,real_estate_agent,4.0,29.0,1.0,46.3,19955000,55.7178546,37.6530453
234,developer,21.0,28.0,1.0,22.8,12951106,55.707253,37.643517
235,realtor,14.0,19.0,4.0,145.0,71000000,55.717886,37.6603019
236,developer,16.0,20.0,4.0,86.62,34171431,55.706447,37.65209268108206
237,developer,3.0,16.0,4.0,101.8,47920110,55.697185000000005,37.63355765111619
238,developer,18.0,24.0,5.0,159.9,83455068,55.68363625,37.70052543619818
239,real_estate_agent,31.0,40.0,3.0,60.0,30500000,55.6986947,37.6397278
240,developer,2.0,6.0,3.0,94.6,45107145,55.6657173,37.6596192
241,real_estate_agent,14.0,16.0,4.0,127.0,76200000,55.7079126,37.6558746
242,developer,8.0,24.0,1.0,58.2,27657895,55.68363625,37.70052543619818
243,homeowner,14.0,40.0,3.0,88.0,39000000,55.6986947,37.6397278
244,developer,14.0,24.0,3.0,111.3,56825620,55.68363625,37.70052543619818
245,homeowner,4.0,22.0,1.0,45.0,22000000,55.6986947,37.6397278
246,developer,13.0,24.0,2.0,73.2,36352614,55.68363625,37.70052543619818
247,real_estate_agent,2.0,2.0,1.0,40.0,9900000,55.7037516,37.6411557
248,developer,4.0,24.0,2.0,73.6,34883952,55.68363625,37.70052543619818
249,realtor,2.0,4.0,1.0,20.3,9990000,55.7037516,37.6411557
250,developer,21.0,24.0,5.0,162.2,87420223,55.68363625,37.70052543619818
251,real_estate_agent,3.0,7.0,4.0,100.0,28000000,55.70618785,37.6689235
252,unknown,10.0,16.0,2.0,41.9,13900000,55.7010917,37.6420665
253,real_estate_agent,7.0,8.0,3.0,139.0,45999000,55.7124791,37.6444538
254,developer,13.0,15.0,3.0,109.6,57144015,55.6987759,37.63075230152488
255,realtor,11.0,29.0,3.0,76.0,43900000,55.7178546,37.6530453
256,developer,28.0,40.0,2.0,60.6,29968760,55.6986947,37.6397278
257,real_estate_agent,13.0,15.0,2.0,73.0,25900000,55.688934599999996,37.65560334570766
258,developer,11.0,16.0,1.0,41.6,21999910,55.700588,37.6362054
259,real_estate_agent,6.0,9.0,2.0,37.6,11900000,55.70329185,37.67585746727717
260,developer,18.0,28.0,3.0,82.6,42344724,55.707253,37.643517
261,realtor,9.0,9.0,1.0,33.0,11990000,55.6814599,37.64506335
262,developer,13.0,16.0,2.0,60.52,25472868,55.7048888,37.653208
263,developer,2.0,16.0,1.0,50.54,20266540,55.7048888,37.653208
264,real_estate_agent,8.0,26.0,1.0,22.8,11299000,55.707253,37.643517
265,developer,10.0,23.0,2.0,35.2,9910350,55.6946059,37.727363
266,real_estate_agent,2.0,17.0,2.0,52.3,18990000,55.6938917,37.6303564
267,developer,6.0,23.0,3.0,44.9,11797705,55.6946059,37.727363
268,real_estate_agent,22.0,22.0,2.0,58.3,20900000,55.699743749999996,37.68373095263924
269,developer,13.0,16.0,1.0,47.15,20821440,55.7048888,37.653208
270,real_estate_agent,14.0,15.0,3.0,73.0,26300000,55.688934599999996,37.65560334570766
271,developer,10.0,20.0,2.0,75.06,32364671,55.706447,37.65209268108206
272,real_estate_agent,11.0,17.0,2.0,66.3,29500000,55.6825566,37.64322653804777
273,developer,3.0,20.0,2.0,64.1,24374717,55.706447,37.65209268108206
274,developer,11.0,16.0,3.0,75.25,29896825,55.7048888,37.653208
275,real_estate_agent,3.0,14.0,3.0,68.0,31000000,55.6991372,37.6346406
276,developer,6.0,16.0,4.0,109.1,48711840,55.700588,37.6362054
277,real_estate_agent,4.0,5.0,3.0,77.0,25300000,55.70155115,37.65907011102388
278,developer,2.0,20.0,3.0,97.4,32462588,55.706447,37.65209268108206
279,real_estate_agent,38.0,40.0,2.0,60.0,28900000,55.6986947,37.6397278
280,developer,6.0,10.0,3.0,103.66,40541426,55.7048888,37.653208
281,real_estate_agent,17.0,18.0,4.0,100.0,54000000,55.6903857,37.656749
282,developer,11.0,20.0,1.0,27.87,16124857,55.706447,37.65209268108206
283,real_estate_agent,3.0,20.0,2.0,70.0,28400000,55.68980365,37.65583458955335
