,author_type,url,floor,floors_count,rooms_count,total_meters,price,district,lat,lon
27447,real_estate_agent,https://www.cian.ru/sale/flat/298948538/,2.0,26.0,1.0,22.3,12200000,Нагатино-Садовники,55.685199,37.6634269
27448,developer,https://www.cian.ru/sale/flat/299226260/,25.0,35.0,2.0,72.6,35152743,Даниловский,55.707253,37.643517
27449,realtor,https://www.cian.ru/sale/flat/299365930/,3.0,9.0,2.0,54.8,13900000,Нагатинский затон,55.68668385,37.689791631350076
27450,developer,https://www.cian.ru/sale/flat/299905773/,6.0,6.0,1.0,40.3,26509510,Нагатинский затон,55.6657173,37.6596192
27451,realtor,https://www.cian.ru/sale/flat/299033803/,4.0,12.0,2.0,39.4,11700000,Нагатинский затон,55.677772000000004,37.6848344517092
27455,real_estate_agent,https://www.cian.ru/sale/flat/299338614/,8.0,8.0,3.0,85.0,32000000,Даниловский,55.6872317,37.6532428
27457,realtor,https://www.cian.ru/sale/flat/299530039/,2.0,19.0,2.0,68.3,19000000,Нагатино-Садовники,55.6757903,37.63212030726921
27458,developer,https://www.cian.ru/sale/flat/299864410/,18.0,35.0,2.0,67.9,29267342,Даниловский,55.707253,37.643517
27460,developer,https://www.cian.ru/sale/flat/300149463/,28.0,35.0,1.0,40.1,22621411,Даниловский,55.707253,37.643517
27462,developer,https://www.cian.ru/sale/flat/300149479/,26.0,35.0,3.0,82.2,42192511,Даниловский,55.707253,37.643517
27464,developer,https://www.cian.ru/sale/flat/300149465/,26.0,35.0,1.0,27.7,17228630,Даниловский,55.707253,37.643517
27468,developer,https://www.cian.ru/sale/flat/299226285/,14.0,14.0,4.0,104.8,52301059,Даниловский,55.688934599999996,37.65560334570766
27469,real_estate_agent,https://www.cian.ru/sale/flat/298136818/,9.0,9.0,2.0,44.2,14400000,Нагатино-Садовники,55.670489950000004,37.653865450000005
27497,developer,https://www.cian.ru/sale/flat/299226177/,18.0,18.0,1.0,57.8,28660491,Даниловский,55.707253,37.643517
27499,developer,https://www.cian.ru/sale/flat/299226224/,26.0,35.0,2.0,63.2,34133379,Даниловский,55.707253,37.643517
27503,developer,https://www.cian.ru/sale/flat/296357549/,26.0,26.0,1.0,21.1,11942642,Нагатино-Садовники,55.685199,37.6634269
27505,developer,https://www.cian.ru/sale/flat/299226283/,14.0,14.0,4.0,117.3,57542026,Даниловский,55.688934599999996,37.65560334570766
27531,developer,https://www.cian.ru/sale/flat/300149477/,26.0,35.0,1.0,43.4,23923608,Даниловский,55.707253,37.643517
27532,real_estate_agent,https://www.cian.ru/sale/flat/298559780/,33.0,33.0,1.0,19.9,9500000,Нагатино-Садовники,55.6764264,37.6416187
27533,developer,https://www.cian.ru/sale/flat/300149470/,30.0,35.0,2.0,68.6,37758956,Даниловский,55.707253,37.643517
27534,homeowner,https://www.cian.ru/sale/flat/298414553/,6.0,9.0,1.0,31.0,11500000,Нагатино-Садовники,55.6683292,37.657269549999995
27535,realtor,https://www.cian.ru/sale/flat/299292500/,10.0,14.0,3.0,65.0,17500000,Нагатино-Садовники,55.68187015,37.64933257450843
27536,developer,https://www.cian.ru/sale/flat/299226279/,17.0,18.0,3.0,97.3,54522313,Даниловский,55.707253,37.643517
27537,realtor,https://www.cian.ru/sale/flat/298835323/,9.0,9.0,1.0,28.1,10100000,Нагатинский затон,55.6795416,37.6664811
27538,developer,https://www.cian.ru/sale/flat/299226278/,18.0,18.0,2.0,63.5,38026913,Даниловский,55.707253,37.643517
27541,real_estate_agent,https://www.cian.ru/sale/flat/292500684/,6.0,33.0,1.0,31.5,11499999,Нагатино-Садовники,55.6746117,37.6454806
27543,realtor,https://www.cian.ru/sale/flat/299947119/,4.0,33.0,3.0,70.0,24290000,Нагатино-Садовники,55.6764264,37.6416187
27545,real_estate_agent,https://www.cian.ru/sale/flat/297998738/,14.0,17.0,2.0,52.0,16650000,Нагатино-Садовники,55.677848049999994,37.62987951599435
27547,homeowner,https://www.cian.ru/sale/flat/297515818/,2.0,9.0,3.0,60.0,20500000,Нагатинский затон,55.68148695,37.667534450000005
27548,developer,https://www.cian.ru/sale/flat/299226270/,18.0,18.0,3.0,97.9,52895811,Даниловский,55.707253,37.643517
27549,real_estate_agent,https://www.cian.ru/sale/flat/298464986/,2.0,26.0,1.0,21.1,10300000,Нагатино-Садовники,55.685199,37.6634269
27550,developer,https://www.cian.ru/sale/flat/299991843/,3.0,24.0,3.0,99.9,46150927,Нагатинский затон,55.68363625,37.70052543619818
27551,realtor,https://www.cian.ru/sale/flat/299912305/,14.0,33.0,3.0,68.0,23400000,Нагатино-Садовники,55.6764264,37.6416187
27553,real_estate_agent,https://www.cian.ru/sale/flat/298515516/,9.0,17.0,2.0,74.5,28450000,Нагатино-Садовники,55.6829596,37.6460118
27554,developer,https://www.cian.ru/sale/flat/300126380/,3.0,24.0,1.0,58.7,28613912,Нагатинский затон,55.68363625,37.70052543619818
27556,developer,https://www.cian.ru/sale/flat/300126387/,17.0,24.0,3.0,100.8,52439926,Нагатинский затон,55.68363625,37.70052543619818
27557,realtor,https://www.cian.ru/sale/flat/298351444/,3.0,9.0,4.0,74.6,21000000,Нагатинский затон,55.68269495,37.67652522347086
