,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
99,0.0,31.0,2.0,51.3,17636862,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,18575963.49298381
100,0.0,29.0,1.0,35.1,19000000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,16777673.199313246
101,0.0,24.0,1.0,19.9,9025666,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,7205880.575251031
102,0.0,26.0,2.0,59.4,23000000,55.7502515,37.6846152,False,False,True,False,False,417170.2374364697,24779912.1037263
103,0.0,9.0,1.0,36.6,13519825,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,13253026.585637575
105,0.0,24.0,2.0,58.0,19726583,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,21002063.988168836
106,0.0,26.0,2.0,66.0,25900000,55.755748,37.7054757,False,False,True,False,False,453006.7470583439,29898445.305850696
107,0.0,24.0,1.0,20.6,9404701,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,7459353.761315138
108,0.0,26.0,1.0,26.7,13900000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,11365331.23791007
109,0.0,31.0,1.0,26.6,10519974,55.7358077,37.7644261,False,False,False,False,False,362104.5515201523,9631981.070436051
110,0.0,29.0,2.0,54.2,26000000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,25907404.19950934
111,0.0,26.0,3.0,96.4,26953440,55.755748,37.7054757,False,False,False,False,False,453006.7470583439,43669850.41642436
112,0.0,20.0,1.0,31.5,16200000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,15941709.823275078
113,0.0,8.0,4.0,100.3,28000000,55.7462367,37.7209417,False,False,False,True,False,276480.7648691332,27731020.71637406
114,0.0,29.0,3.0,79.0,39500000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,37761714.60814092
115,0.0,5.0,4.0,71.8,19000000,55.7502873,37.7183684,False,False,True,False,False,283919.657942792,20385431.440292463
116,0.0,17.0,4.0,124.0,44200000,55.7516274,37.7178488,False,False,True,False,False,287127.57321209,35603819.07829916
117,0.0,9.0,1.0,38.5,12990000,55.7574398,37.75862965,False,False,False,True,False,278832.3931736089,10735047.137183944
118,0.0,27.0,2.0,55.8,25999999,55.7511034,37.70492647153816,False,False,False,True,False,433585.89749954594,24194093.080474664
119,0.0,27.0,1.0,30.0,15000000,55.7515232,37.7036117,False,False,False,True,False,477996.38744482177,14339891.623344652
120,0.0,26.0,1.0,37.5,20000000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,15962543.8734692
121,0.0,16.0,2.0,51.0,14500000,55.7468976,37.70291173017739,False,False,False,True,False,456593.83695222053,23286285.684563246
122,0.0,9.0,2.0,44.3,12990000,55.75277065,37.71106940442228,False,False,False,False,False,393722.9279766195,17441925.709364243
123,0.0,9.0,2.0,45.0,11300000,55.75810435,37.75985672357663,False,False,False,True,False,278832.3931736089,12547457.692812402
124,0.0,9.0,1.0,31.3,10600000,55.75277065,37.71106940442228,False,False,False,True,False,393722.9279766195,12323527.645668192
126,0.0,3.0,1.0,15.9,4400000,55.74615045,37.70557476834783,False,False,True,False,False,392125.58539985406,6234796.807857679
127,0.0,8.0,4.0,84.0,19800000,55.74490785,37.7209210918536,False,False,False,True,False,283635.98628919496,23825422.848292377
128,0.0,9.0,2.0,59.7,17500000,55.7543394,37.7100573,False,False,False,True,False,412537.5109352833,24628489.402836416
129,0.0,10.0,3.0,60.6,26500000,55.7585445,37.685285,True,False,False,False,False,451390.6242545738,27354271.82982717
130,0.0,5.0,2.0,43.9,11900000,55.75003675,37.71553404428512,False,False,True,False,False,293839.4132733076,12899550.242698204
131,0.0,5.0,4.0,87.6,18500000,55.750681,37.7173684,False,False,False,False,False,283683.26953165256,24850654.410972763
132,0.0,6.0,2.0,60.0,14000000,55.7499219,37.70485587295686,False,False,False,False,False,431257.7244609717,25875463.467658304
133,0.0,9.0,2.0,36.5,13500000,55.7574398,37.75862965,False,False,False,True,False,278832.3931736089,10177382.350836726
134,0.0,28.0,2.0,60.0,30000000,55.7516085,37.6992828,False,False,False,True,False,506086.02613571676,30365161.568143006
135,0.0,16.0,3.0,60.4,16900000,55.7468976,37.70291173017739,True,False,False,False,False,456593.83695222053,27578267.75191412
136,0.0,5.0,2.0,44.0,13500000,55.75003675,37.71553404428512,False,False,False,False,False,293839.4132733076,12928934.184025535
137,0.0,5.0,2.0,42.8,12000000,55.755597550000005,37.71880067818224,False,False,False,True,False,291533.25350603083,12477623.250058118
138,0.0,10.0,1.0,19.7,10350000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,8892395.297815103
139,0.0,21.0,2.0,93.0,50000000,55.7456706,37.704944,True,False,False,False,False,329798.6573330014,30671275.131969128
140,0.0,20.0,3.0,85.0,29495000,55.7585445,37.685285,True,False,False,False,False,451390.6242545738,38368203.06163877
141,0.0,27.0,3.0,97.3,42000000,55.7509339,37.70581703825712,True,False,False,False,False,430884.86732278945,41925097.59050741
143,0.0,3.0,1.0,18.9,5000000,55.74615045,37.70557476834783,False,False,True,False,False,392125.58539985406,7411173.564057241
144,0.0,14.0,1.0,38.0,10700000,55.7453464,37.70236578673334,False,False,False,True,False,329798.6573330014,12532348.978654053
145,0.0,27.0,4.0,97.3,42000000,55.7509339,37.70581703825712,False,False,False,True,False,430884.86732278945,41925097.59050741
147,0.0,5.0,2.0,58.0,20000000,55.7582584,37.7173462,True,False,False,False,False,291142.9948649819,16886293.702168953
148,0.0,5.0,4.0,103.0,23250000,55.7547558,37.7190943,False,False,False,True,False,290733.8240242654,29945583.874499336
149,0.0,23.0,2.0,51.0,23800000,55.7585445,37.685285,False,False,False,True,False,451390.6242545738,23020921.836983263
150,0.0,21.0,2.0,80.6,27300000,55.7456706,37.704944,True,False,False,False,False,329798.6573330014,26581771.78103991
